time,I_L2
1.4840000000e-03,1.3543311293e+02
1.4880000000e-03,1.3631958205e+02
1.4920000000e-03,1.3760779519e+02
1.4960000000e-03,1.3911054257e+02
1.5000000000e-03,1.4064389726e+02
1.5040000000e-03,1.4203004113e+02
1.5080000000e-03,1.4310004841e+02
1.5120000000e-03,1.4369642136e+02
1.5160000000e-03,1.4372575822e+02
1.5200000000e-03,1.4328432155e+02
1.5240000000e-03,1.4262288240e+02
1.5280000000e-03,1.4197854113e+02
1.5320000000e-03,1.4157868990e+02
1.5360000000e-03,1.4163752324e+02
1.5400000000e-03,1.4222443191e+02
1.5440000000e-03,1.4315725753e+02
1.5480000000e-03,1.4425157090e+02
1.5520000000e-03,1.4532756345e+02
1.5560000000e-03,1.4621223378e+02
1.5600000000e-03,1.4674206540e+02
1.5640000000e-03,1.4677329747e+02
1.5680000000e-03,1.4631839706e+02
1.5720000000e-03,1.4562829561e+02
1.5760000000e-03,1.4493681653e+02
1.5800000000e-03,1.4446851902e+02
1.5840000000e-03,1.4443524071e+02
1.5880000000e-03,1.4494708161e+02
1.5920000000e-03,1.4589496229e+02
1.5960000000e-03,1.4708272824e+02
1.6000000000e-03,1.4832165927e+02
1.6040000000e-03,1.4942900217e+02
1.6080000000e-03,1.5023084256e+02
1.6120000000e-03,1.5056472633e+02
1.6160000000e-03,1.5037324586e+02
1.6200000000e-03,1.4981941136e+02
1.6240000000e-03,1.4913915389e+02
1.6280000000e-03,1.4855726923e+02
1.6320000000e-03,1.4828794424e+02
1.6360000000e-03,1.4853152174e+02
1.6400000000e-03,1.4934363081e+02
1.6440000000e-03,1.5052857443e+02
1.6480000000e-03,1.5188753330e+02
1.6520000000e-03,1.5322668218e+02
1.6560000000e-03,1.5435955787e+02
1.6600000000e-03,1.5510994428e+02
1.6640000000e-03,1.5532281062e+02
1.6680000000e-03,1.5500082746e+02
1.6720000000e-03,1.5438542142e+02
1.6760000000e-03,1.5370230517e+02
1.6800000000e-03,1.5316936699e+02
1.6840000000e-03,1.5299327515e+02
1.6880000000e-03,1.5332133179e+02
1.6920000000e-03,1.5411376384e+02
1.6960000000e-03,1.5516339538e+02
1.7000000000e-03,1.5627417137e+02
1.7040000000e-03,1.5725612980e+02
1.7080000000e-03,1.5792839050e+02
1.7120000000e-03,1.5812188551e+02
1.7160000000e-03,1.5780709044e+02
1.7200000000e-03,1.5720091768e+02
1.7240000000e-03,1.5652557285e+02
1.7280000000e-03,1.5599464385e+02
1.7320000000e-03,1.5581076415e+02
1.7360000000e-03,1.5616258452e+02
1.7400000000e-03,1.5710060432e+02
1.7440000000e-03,1.5842911768e+02
1.7480000000e-03,1.5993670981e+02
1.7520000000e-03,1.6141791986e+02
1.7560000000e-03,1.6267520547e+02
1.7600000000e-03,1.6352199506e+02
1.7640000000e-03,1.6380027399e+02
1.7680000000e-03,1.6351559447e+02
1.7720000000e-03,1.6290034790e+02
1.7760000000e-03,1.6217275751e+02
1.7800000000e-03,1.6154427416e+02
1.7840000000e-03,1.6121625205e+02
1.7880000000e-03,1.6136589881e+02
1.7920000000e-03,1.6201002860e+02
1.7960000000e-03,1.6293101938e+02
1.8000000000e-03,1.6392540552e+02
1.8040000000e-03,1.6479590458e+02
1.8080000000e-03,1.6535452633e+02
1.8120000000e-03,1.6542541548e+02
1.8160000000e-03,1.6500630594e+02
1.8200000000e-03,1.6436704730e+02
1.8240000000e-03,1.6371599286e+02
1.8280000000e-03,1.6325536076e+02
1.8320000000e-03,1.6317607524e+02
1.8360000000e-03,1.6365494779e+02
1.8400000000e-03,1.6473682685e+02
1.8440000000e-03,1.6622520134e+02
1.8480000000e-03,1.6789604977e+02
1.8520000000e-03,1.6953225920e+02
1.8560000000e-03,1.7092522046e+02
1.8600000000e-03,1.7187804638e+02
1.8640000000e-03,1.7222941961e+02
1.8680000000e-03,1.7198719137e+02
1.8720000000e-03,1.7137492737e+02
1.8760000000e-03,1.7060356920e+02
1.8800000000e-03,1.6987836615e+02
1.8840000000e-03,1.6939561740e+02
1.8880000000e-03,1.6936228677e+02
1.8920000000e-03,1.6985132000e+02
1.8960000000e-03,1.7063505514e+02
1.9000000000e-03,1.7150300122e+02
1.9040000000e-03,1.7225095103e+02
1.9080000000e-03,1.7268420323e+02
1.9120000000e-03,1.7262051070e+02
1.9160000000e-03,1.7208235316e+02
1.9200000000e-03,1.7139025837e+02
1.9240000000e-03,1.7074407993e+02
1.9280000000e-03,1.7033494769e+02
1.9320000000e-03,1.7034254982e+02
1.9360000000e-03,1.7093229632e+02
1.9400000000e-03,1.7214339045e+02
1.9440000000e-03,1.7377818272e+02
1.9480000000e-03,1.7560044362e+02
1.9520000000e-03,1.7738173161e+02
1.9560000000e-03,1.7890265004e+02
1.9600000000e-03,1.7995622821e+02
1.9640000000e-03,1.8037763815e+02
1.9680000000e-03,1.8017647883e+02
1.9720000000e-03,1.7956767085e+02
1.9760000000e-03,1.7875498265e+02
1.9800000000e-03,1.7793753329e+02
1.9840000000e-03,1.7730903960e+02
1.9880000000e-03,1.7710758481e+02
1.9920000000e-03,1.7745651799e+02
1.9960000000e-03,1.7811831623e+02
2.0000000000e-03,1.7887537795e+02
2.0040000000e-03,1.7951648458e+02
2.0080000000e-03,1.7984013736e+02
2.0120000000e-03,1.7965761267e+02
2.0160000000e-03,1.7899598746e+02
2.0200000000e-03,1.7821088013e+02
2.0240000000e-03,1.7753293436e+02
